Ejecución,NodosExpandidos,TiempoMs,Exito
"1","106","1,16","True"
"2","652","0,12","True"
"3","838","0,13","True"
"4","593","0,07","True"
"5","426","0,05","True"
"6","344","0,04","True"
"7","503","0,08","True"
"8","263","0,03","True"
"9","299","0,04","True"
"10","220","0,03","True"
"11","270","0,03","True"
"12","315","0,04","True"
"13","255","0,03","True"
"14","147","0,02","True"
"15","222","0,02","True"
"16","266","0,03","True"
"17","109","0,01","True"
"18","275","0,03","True"
"19","113","0,01","True"
"20","249","0,03","True"
"21","170","0,02","True"
"22","160","0,02","True"
"23","92","0,01","True"
"24","225","0,02","True"
"25","164","0,02","True"
"26","215","0,02","True"
"27","74","0,01","True"
"28","150","0,02","True"
"29","158","0,02","True"
"30","177","0,02","True"
"31","99","0,01","True"
"32","107","0,01","True"
"33","173","0,02","True"
"34","107","0,01","True"
"35","116","0,01","True"
"36","113","0,01","True"
"37","143","0,02","True"
"38","69","0,01","True"
"39","92","0,01","True"
"40","198","0,02","True"
"41","167","0,02","True"
"42","85","0,01","True"
"43","80","0,01","True"
"44","79","0,01","True"
"45","115","0,01","True"
"46","132","0,01","True"
"47","68","0,01","True"
"48","108","0,01","True"
"49","67","0,01","True"
"50","98","0,01","True"
"51","84","0,01","True"
"52","114","0,01","True"
"53","89","0,01","True"
"54","68","0,01","True"
"55","106","0,01","True"
"56","134","0,01","True"
"57","82","0,01","True"
"58","82","0,01","True"
"59","45","0,00","True"
"60","66","0,01","True"
"61","104","0,01","True"
"62","67","0,01","True"
"63","83","0,01","True"
"64","122","0,01","True"
"65","92","0,01","True"
"66","46","0,01","True"
"67","85","0,01","True"
"68","37","0,00","True"
"69","62","0,01","True"
"70","91","0,01","True"
"71","108","0,01","True"
"72","45","0,00","True"
"73","91","0,01","True"
"74","33","0,00","True"
"75","102","0,01","True"
"76","54","0,01","True"
"77","67","0,01","True"
"78","37","0,00","True"
"79","89","0,01","True"
"80","53","0,01","True"
"81","84","0,01","True"
"82","48","0,01","True"
"83","68","0,01","True"
"84","67","0,01","True"
"85","36","0,00","True"
"86","72","0,01","True"
"87","82","0,01","True"
"88","48","0,00","True"
"89","92","0,01","True"
"90","33","0,00","True"
"91","36","0,00","True"
"92","39","0,00","True"
"93","77","0,01","True"
"94","51","0,01","True"
"95","56","0,01","True"
"96","85","0,01","True"
"97","54","0,01","True"
"98","50","0,01","True"
"99","68","0,01","True"
"100","50","0,01","True"
"101","35","0,00","True"
"102","37","0,00","True"
"103","46","0,00","True"
"104","87","0,01","True"
"105","35","0,00","True"
"106","44","0,00","True"
"107","48","0,00","True"
"108","46","0,00","True"
"109","34","0,00","True"
"110","47","0,00","True"
"111","78","0,01","True"
"112","46","0,00","True"
"113","31","0,00","True"
"114","65","0,01","True"
"115","59","0,01","True"
"116","50","0,01","True"
"117","51","0,01","True"
"118","28","0,00","True"
"119","32","0,00","True"
"120","47","0,01","True"
"121","70","0,01","True"
"122","38","0,00","True"
"123","34","0,00","True"
"124","42","0,00","True"
"125","37","0,00","True"
"126","35","0,00","True"
"127","37","0,00","True"
"128","62","0,01","True"
"129","23","0,00","True"
"130","37","0,00","True"
"131","66","0,01","True"
"132","38","0,00","True"
"133","53","0,01","True"
"134","25","0,00","True"
"135","44","0,00","True"
"136","24","0,00","True"
"137","42","0,00","True"
"138","39","0,00","True"
"139","23","0,00","True"
"140","35","0,00","True"
"141","54","0,01","True"
"142","30","0,00","True"
"143","37","0,00","True"
"144","45","0,00","True"
"145","29","0,00","True"
"146","69","0,01","True"
"147","20","0,00","True"
"148","41","0,00","True"
"149","26","0,00","True"
"150","25","0,00","True"
"151","39","0,00","True"
"152","44","0,00","True"
"153","37","0,00","True"
"154","36","0,00","True"
"155","30","0,00","True"
