Ejecución,NodosExpandidos,TiempoMs,Exito
"1","88","0,79","True"
"2","614","0,05","True"
"3","927","0,07","True"
"4","464","0,04","True"
"5","471","0,04","True"
"6","418","0,03","True"
"7","284","0,02","True"
"8","325","0,02","True"
"9","229","0,02","True"
"10","433","0,03","True"
"11","244","0,02","True"
"12","187","0,14","True"
"13","349","0,02","True"
"14","215","0,01","True"
"15","261","0,04","True"
"16","203","0,02","True"
"17","116","0,01","True"
"18","276","0,02","True"
"19","206","0,01","True"
"20","141","0,01","True"
"21","143","0,01","True"
"22","202","0,01","True"
"23","232","0,02","True"
"24","157","0,01","True"
"25","128","0,01","True"
"26","173","0,01","True"
"27","120","0,01","True"
"28","148","0,01","True"
"29","169","0,01","True"
"30","129","0,01","True"
"31","105","0,01","True"
"32","129","0,01","True"
"33","169","0,01","True"
"34","174","0,01","True"
"35","73","0,00","True"
"36","84","0,01","True"
"37","132","0,01","True"
"38","135","0,01","True"
"39","149","0,01","True"
"40","108","0,01","True"
"41","101","0,01","True"
"42","130","0,01","True"
"43","74","0,01","True"
"44","126","0,01","True"
"45","109","0,02","True"
"46","98","0,01","True"
"47","107","0,01","True"
"48","74","0,00","True"
"49","180","0,01","True"
"50","56","0,00","True"
"51","63","0,00","True"
"52","68","0,00","True"
"53","142","0,01","True"
"54","57","0,05","True"
"55","99","0,01","True"
"56","69","0,00","True"
"57","120","0,01","True"
"58","129","0,01","True"
"59","83","0,01","True"
"60","71","0,00","True"
"61","55","0,00","True"
"62","63","0,00","True"
"63","122","0,01","True"
"64","122","0,01","True"
"65","30","0,00","True"
"66","63","0,00","True"
"67","105","0,01","True"
"68","63","0,00","True"
"69","48","0,00","True"
"70","68","0,00","True"
"71","96","0,01","True"
"72","80","0,01","True"
"73","55","0,00","True"
"74","42","0,00","True"
"75","128","0,01","True"
"76","97","0,01","True"
"77","27","0,00","True"
"78","54","0,00","True"
"79","67","0,00","True"
"80","90","0,01","True"
"81","29","0,00","True"
"82","91","0,01","True"
"83","51","0,00","True"
"84","59","0,00","True"
"85","58","0,00","True"
"86","80","0,00","True"
"87","72","0,00","True"
"88","37","0,00","True"
"89","53","0,00","True"
"90","66","0,00","True"
"91","59","0,00","True"
"92","50","0,00","True"
"93","78","0,01","True"
"94","65","0,00","True"
"95","35","0,00","True"
"96","57","0,00","True"
"97","60","0,00","True"
"98","54","0,00","True"
"99","64","0,00","True"
"100","57","0,00","True"
"101","45","0,00","True"
"102","51","0,00","True"
"103","37","0,00","True"
"104","58","0,00","True"
"105","58","0,00","True"
"106","64","0,00","True"
"107","36","0,00","True"
"108","37","0,00","True"
"109","59","0,00","True"
"110","71","0,00","True"
"111","46","0,00","True"
"112","38","0,00","True"
"113","33","0,00","True"
"114","52","0,00","True"
"115","58","0,00","True"
"116","53","0,00","True"
"117","54","0,00","True"
"118","48","0,00","True"
"119","88","0,01","True"
"120","36","0,00","True"
"121","41","0,00","True"
"122","27","0,00","True"
"123","31","0,00","True"
"124","77","0,00","True"
"125","24","0,00","True"
"126","37","0,00","True"
"127","39","0,00","True"
"128","63","0,00","True"
"129","41","0,00","True"
"130","53","0,00","True"
"131","41","0,00","True"
"132","34","0,00","True"
"133","34","0,00","True"
"134","47","0,00","True"
"135","51","0,00","True"
"136","44","0,00","True"
"137","55","0,00","True"
"138","34","0,00","True"
